user_id,user_paid,user_registered,onboarded,subscription_type,completed_date,onboarding_country,onboarding_heard_from_label,onboarding_goals_label,onboarding_learn_label
462967,Paid,1/3/2023,Onboarded,Annual,1/3/2023,Italy,Twitter,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
462971,Paid,1/3/2023,Onboarded,Annual,1/3/2023,Vietnam,Youtube,I want to become a data scientist.,Data analysis and data visualization
463006,Free,1/4/2023,Not-Onboarded,,,,Multiple_Sources,,
463014,Paid,1/4/2023,Onboarded,Annual,1/4/2023,United States of America,Other,,Introduction to the world of data and data science
463084,Paid,1/4/2023,Not-Onboarded,Monthly,,,Multiple_Sources,,
463110,Paid,1/4/2023,Onboarded,Monthly,1/4/2023,India,Youtube,I want to become a data scientist.,Data analysis and data visualization
463116,Paid,1/4/2023,Onboarded,Monthly,1/4/2023,Brazil,Google,I want to become a data scientist.,Data analysis and data visualization
463172,Paid,1/4/2023,Onboarded,Annual,1/4/2023,United States of America,Friend,I want to earn a higher salary.,Business analysis
463183,Paid,1/4/2023,Onboarded,Annual,1/4/2023,"Eswatini (fmr. Swaziland"")""",Friend,,Introduction to the world of data and data science
463200,Paid,1/4/2023,Onboarded,Monthly,1/4/2023,India,Google,I want to join an industry-leading company.,Machine and deep learning
463224,Paid,1/4/2023,Not-Onboarded,Monthly,,,Multiple_Sources,,
463226,Paid,1/4/2023,Onboarded,Annual,1/5/2023,United States of America,Youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
463227,Paid,1/4/2023,Not-Onboarded,Monthly,,,Multiple_Sources,,
463254,Paid,1/5/2023,Onboarded,Annual,1/5/2023,United States of America,Youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
463277,Paid,1/5/2023,Onboarded,Quarterly,1/5/2023,United States of America,Youtube,,Introduction to the world of data and data science
463289,Paid,1/5/2023,Onboarded,Annual,1/5/2023,Germany,Linkedin,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
463339,Paid,1/5/2023,Onboarded,Annual,2/1/2023,Belarus,Youtube,I want to improve my data skills.,Introduction to the world of data and data science
463347,Paid,1/5/2023,Onboarded,Annual,1/5/2023,India,Youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
463385,Paid,1/5/2023,Onboarded,Annual,1/5/2023,Germany,Youtube,I want to earn a higher salary.,Business analysis
463411,Paid,1/5/2023,Onboarded,Annual,1/5/2023,Malaysia,Google,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
463421,Paid,1/5/2023,Onboarded,Annual,1/5/2023,France,Youtube,I want to earn a higher salary.,Business analysis
463432,Paid,1/5/2023,Onboarded,Monthly,1/5/2023,United States of America,Google,I want to join an industry-leading company.,Machine and deep learning
463477,Paid,1/5/2023,Onboarded,Annual,1/5/2023,Germany,Youtube,Other,Specialized advanced topics
463507,Paid,1/6/2023,Onboarded,,1/6/2023,United States of America,Youtube,,Introduction to the world of data and data science
463513,Paid,1/6/2023,Not-Onboarded,Monthly,,,Multiple_Sources,,
463550,Paid,1/6/2023,Onboarded,Annual,1/6/2023,Malaysia,Youtube,I want to become a data scientist.,Data analysis and data visualization
463570,Paid,1/6/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
463620,Free,1/6/2023,Not-Onboarded,,,,Multiple_Sources,,
463640,Paid,1/6/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
463693,Paid,1/6/2023,Onboarded,Annual,1/6/2023,Austria,Google,,Introduction to the world of data and data science
463704,Paid,1/6/2023,Onboarded,,1/6/2023,United States of America,Youtube,,Introduction to the world of data and data science
463722,Paid,1/7/2023,Onboarded,Annual,1/7/2023,Canada,Youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
463728,Paid,1/7/2023,Not-Onboarded,Monthly,,,Multiple_Sources,,
463745,Paid,1/7/2023,Onboarded,Monthly,1/7/2023,United States of America,Youtube,I want to become a data scientist.,Data analysis and data visualization
463779,Paid,1/7/2023,Onboarded,Monthly,1/7/2023,United States of America,Google,I want to improve my data skills.,Introduction to the world of data and data science
463827,Paid,1/7/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
463832,Paid,1/7/2023,Onboarded,Monthly,1/7/2023,Egypt,Friend,,Introduction to the world of data and data science
463857,Paid,1/7/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
463863,Free,1/7/2023,Not-Onboarded,,,,Multiple_Sources,,
463897,Paid,1/7/2023,Onboarded,Monthly,1/7/2023,Saudi Arabia,Linkedin,I want to earn a higher salary.,Business analysis
463917,Paid,1/7/2023,Onboarded,Annual,1/7/2023,Italy,Facebook,I want to become a data scientist.,Data analysis and data visualization
463935,Paid,1/7/2023,Not-Onboarded,Monthly,,,Multiple_Sources,,
463966,Paid,1/7/2023,Onboarded,,1/8/2023,Colombia,Youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
463972,Paid,1/8/2023,Onboarded,Monthly,1/8/2023,Colombia,Linkedin,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
464027,Free,1/8/2023,Not-Onboarded,,,,Multiple_Sources,,
464037,Paid,1/8/2023,Not-Onboarded,Monthly,,,Multiple_Sources,,
464079,Paid,1/8/2023,Onboarded,Monthly,1/8/2023,Egypt,Friend,I want to join an industry-leading company.,Machine and deep learning
464103,Paid,1/8/2023,Onboarded,Monthly,1/8/2023,Nigeria,Youtube,,Introduction to the world of data and data science
464203,Paid,1/8/2023,Onboarded,Annual,1/8/2023,Egypt,Linkedin,I want to improve my data skills.,Introduction to the world of data and data science
464241,Free,1/9/2023,Not-Onboarded,,,,Multiple_Sources,,
464290,Paid,1/9/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
464327,Paid,1/9/2023,Onboarded,Monthly,1/9/2023,Ireland,Youtube,I want to join an industry-leading company.,Machine and deep learning
464385,Paid,1/9/2023,Onboarded,Monthly,1/9/2023,Spain,Facebook,I want to become a data scientist.,Data analysis and data visualization
464439,Paid,1/9/2023,Onboarded,,1/9/2023,United States of America,Other,I want to earn a higher salary.,Business analysis
464451,Paid,1/9/2023,Not-Onboarded,Monthly,,,Multiple_Sources,,
464480,Free,1/10/2023,Not-Onboarded,,,,Multiple_Sources,,
464483,Paid,1/10/2023,Onboarded,Monthly,1/10/2023,United States of America,Youtube,I want to become a data scientist.,Data analysis and data visualization
464501,Paid,1/10/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
464502,Paid,1/10/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
464521,Paid,1/10/2023,Onboarded,Monthly,1/10/2023,India,Friend,I want to improve my data skills.,Introduction to the world of data and data science
464574,Paid,1/10/2023,Onboarded,Monthly,1/10/2023,Iran,Linkedin,I want to earn a higher salary.,Business analysis
464591,Paid,1/10/2023,Onboarded,Annual,1/10/2023,India,Youtube,,Introduction to the world of data and data science
464638,Paid,1/10/2023,Onboarded,Monthly,1/10/2023,India,Youtube,I want to join an industry-leading company.,Machine and deep learning
464651,Paid,1/10/2023,Onboarded,Monthly,3/2/2023,Bulgaria,Friend,,Introduction to the world of data and data science
464652,Paid,1/10/2023,Onboarded,Annual,1/10/2023,United States of America,Google,,Introduction to the world of data and data science
464658,Free,1/10/2023,Not-Onboarded,,,,Multiple_Sources,,
464665,Paid,1/10/2023,Onboarded,,1/10/2023,India,Youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
464668,Paid,1/10/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
464686,Paid,1/10/2023,Not-Onboarded,Annual,,,Youtube,,
464705,Paid,1/10/2023,Onboarded,Annual,1/10/2023,Guatemala,Instagram,I want to earn a higher salary.,Business analysis
464722,Paid,1/11/2023,Onboarded,Annual,1/11/2023,United States of America,Friend,I want to join an industry-leading company.,Machine and deep learning
464724,Paid,1/11/2023,Not-Onboarded,Annual,,,Youtube,,
464747,Paid,1/11/2023,Onboarded,Annual,1/11/2023,United States of America,Youtube,I want to become a data scientist.,Data analysis and data visualization
464748,Paid,1/11/2023,Onboarded,Annual,1/11/2023,Mongolia,Google,I want to earn a higher salary.,Business analysis
464912,Paid,1/11/2023,Onboarded,Annual,1/11/2023,Honduras,Other,,Introduction to the world of data and data science
464935,Paid,1/12/2023,Onboarded,Annual,1/12/2023,United States of America,Other,I want to become a data scientist.,Data analysis and data visualization
464947,Paid,1/12/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
464977,Paid,1/12/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
465013,Paid,1/12/2023,Onboarded,Annual,1/12/2023,Greece,Other,,Introduction to the world of data and data science
465040,Paid,1/12/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
465074,Paid,1/12/2023,Onboarded,Monthly,1/12/2023,Germany,Youtube,,Introduction to the world of data and data science
465077,Paid,1/12/2023,Onboarded,Annual,1/12/2023,Indonesia,Youtube,,Introduction to the world of data and data science
465094,Paid,1/12/2023,Onboarded,Annual,1/12/2023,Portugal,Youtube,I want to become a data scientist.,Data analysis and data visualization
465102,Paid,1/12/2023,Onboarded,Annual,1/12/2023,Ukraine,Instagram,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
465104,Paid,1/12/2023,Onboarded,Annual,1/12/2023,Netherlands,Instagram,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
465169,Paid,1/13/2023,Onboarded,Annual,1/13/2023,Vietnam,Multiple_Sources,I want to earn a higher salary.,Business analysis
465191,Paid,1/13/2023,Not-Onboarded,Monthly,,Iran,Friend,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
465197,Free,1/13/2023,Not-Onboarded,,,,Multiple_Sources,,
465225,Free,1/13/2023,Not-Onboarded,,,Finland,Linkedin,,
465234,Paid,1/13/2023,Onboarded,Annual,1/13/2023,Serbia,Youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
465283,Paid,1/13/2023,Onboarded,Monthly,1/13/2023,Nigeria,Friend,I want to become a data scientist.,Data analysis and data visualization
465285,Paid,1/13/2023,Onboarded,Annual,1/13/2023,Germany,Friend,I want to become a data scientist.,Data analysis and data visualization
465295,Free,1/13/2023,Onboarded,,1/13/2023,United States of America,Youtube,I want to improve my data skills.,Introduction to the world of data and data science
465312,Paid,1/13/2023,Not-Onboarded,Annual,,,Google,,
465335,Paid,1/13/2023,Onboarded,Monthly,1/13/2023,United States of America,Youtube,I want to join an industry-leading company.,Machine and deep learning
465337,Paid,1/13/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
465355,Paid,1/13/2023,Onboarded,Annual,1/13/2023,United States of America,Youtube,I want to become a data scientist.,Data analysis and data visualization
465382,Paid,1/14/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
465390,Free,1/14/2023,Not-Onboarded,,,,Multiple_Sources,,
465421,Paid,1/14/2023,Onboarded,Annual,1/14/2023,Egypt,Youtube,I want to earn a higher salary.,Business analysis
465456,Free,1/14/2023,Not-Onboarded,,,,Multiple_Sources,,
465461,Paid,1/14/2023,Onboarded,Annual,1/14/2023,Jamaica,Multiple_Sources,,Introduction to the world of data and data science
465499,Paid,1/14/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
465517,Paid,1/14/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
465520,Paid,1/14/2023,Onboarded,Annual,1/14/2023,United States of America,Youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
465530,Paid,1/14/2023,Not-Onboarded,Monthly,,,Multiple_Sources,,
465532,Paid,1/14/2023,Onboarded,Annual,1/14/2023,United States of America,Youtube,,Introduction to the world of data and data science
465554,Paid,1/14/2023,Onboarded,Monthly,1/14/2023,Brazil,Youtube,I want to improve my data skills.,Introduction to the world of data and data science
465581,Paid,1/15/2023,Onboarded,Monthly,1/15/2023,United States of America,Youtube,I want to become a data scientist.,Data analysis and data visualization
465609,Paid,1/15/2023,Onboarded,Annual,1/15/2023,Spain,Friend,,Introduction to the world of data and data science
465628,Paid,1/15/2023,Onboarded,Annual,1/15/2023,Spain,Facebook,Other,Specialized advanced topics
465641,Paid,1/15/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
465663,Paid,1/15/2023,Onboarded,Annual,1/15/2023,Denmark,Facebook,I want to join an industry-leading company.,Machine and deep learning
465719,Paid,1/15/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
465721,Paid,1/15/2023,Not-Onboarded,Monthly,,,Multiple_Sources,,
465730,Paid,1/15/2023,Onboarded,Annual,1/15/2023,Egypt,Facebook,I want to become a data scientist.,Data analysis and data visualization
465740,Paid,1/15/2023,Onboarded,Annual,1/15/2023,Saudi Arabia,Google,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
465748,Paid,1/15/2023,Onboarded,Annual,1/15/2023,Nigeria,Friend,I want to earn a higher salary.,Business analysis
465756,Paid,1/15/2023,Onboarded,Annual,1/15/2023,Italy,Google,,Introduction to the world of data and data science
465781,Free,1/16/2023,Not-Onboarded,,,,Multiple_Sources,,
465804,Paid,1/16/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
465807,Paid,1/16/2023,Onboarded,Annual,1/16/2023,Sudan,Friend,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
465840,Paid,1/16/2023,Onboarded,Monthly,1/16/2023,Germany,Instagram,,Introduction to the world of data and data science
465848,Paid,1/16/2023,Onboarded,Annual,1/16/2023,United Arab Emirates,Linkedin,,Introduction to the world of data and data science
465867,Paid,1/16/2023,Onboarded,Monthly,1/16/2023,Turkmenistan,Linkedin,I want to become a data scientist.,Data analysis and data visualization
465874,Paid,1/16/2023,Onboarded,Annual,1/16/2023,Brazil,Youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
465929,Paid,1/16/2023,Not-Onboarded,Monthly,,,Multiple_Sources,,
465966,Paid,1/16/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
465994,Paid,1/16/2023,Onboarded,Annual,1/16/2023,United States of America,Google,I want to become a data scientist.,Data analysis and data visualization
465998,Paid,1/16/2023,Onboarded,Annual,1/16/2023,United States of America,Youtube,I want to join an industry-leading company.,Machine and deep learning
466030,Paid,1/17/2023,Onboarded,Annual,1/17/2023,United States of America,Friend,I want to become a data scientist.,Data analysis and data visualization
466043,Paid,1/17/2023,Onboarded,Annual,1/17/2023,India,Multiple_Sources,I want to become a data scientist.,Data analysis and data visualization
466071,Paid,1/17/2023,Onboarded,Monthly,1/17/2023,Canada,Youtube,I want to earn a higher salary.,Business analysis
466109,Paid,1/17/2023,Onboarded,Annual,1/17/2023,Kenya,Google,I want to become a data scientist.,Data analysis and data visualization
466111,Paid,1/17/2023,Onboarded,Monthly,1/17/2023,India,Google,I want to join an industry-leading company.,Machine and deep learning
466117,Paid,1/17/2023,Onboarded,Monthly,2/8/2023,Kenya,Linkedin,,Introduction to the world of data and data science
466119,Paid,1/17/2023,Onboarded,Annual,1/17/2023,New Zealand,Youtube,I want to become a data scientist.,Data analysis and data visualization
466154,Paid,1/17/2023,Onboarded,Annual,1/17/2023,India,Instagram,,Introduction to the world of data and data science
466159,Free,1/17/2023,Not-Onboarded,,,,Multiple_Sources,,
466168,Paid,1/17/2023,Onboarded,Annual,1/17/2023,United States of America,Facebook,,Introduction to the world of data and data science
466193,Paid,1/17/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
466212,Paid,1/17/2023,Onboarded,Annual,1/17/2023,Bahamas,Other,I want to join an industry-leading company.,Machine and deep learning
466215,Paid,1/17/2023,Onboarded,Monthly,1/17/2023,Bangladesh,Youtube,I want to become a data scientist.,Data analysis and data visualization
466220,Paid,1/17/2023,Not-Onboarded,Monthly,,,Multiple_Sources,,
466225,Paid,1/17/2023,Onboarded,Annual,1/18/2023,Australia,Other,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
466226,Paid,1/17/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
466229,Paid,1/17/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
466230,Paid,1/17/2023,Onboarded,Annual,1/17/2023,United States of America,Google,,Introduction to the world of data and data science
466232,Paid,1/17/2023,Onboarded,Annual,1/17/2023,Tunisia,Facebook,I want to improve my data skills.,Introduction to the world of data and data science
466233,Paid,1/17/2023,Onboarded,Annual,1/17/2023,United States of America,Google,I want to join an industry-leading company.,Machine and deep learning
466237,Paid,1/17/2023,Onboarded,Annual,1/17/2023,India,Friend,,Introduction to the world of data and data science
466244,Paid,1/17/2023,Onboarded,Annual,1/17/2023,Germany,Linkedin,,Introduction to the world of data and data science
466257,Paid,1/17/2023,Onboarded,Annual,1/17/2023,United States of America,Youtube,I want to become a data scientist.,Data analysis and data visualization
466258,Paid,1/17/2023,Onboarded,Annual,1/17/2023,United States of America,Google,I want to join an industry-leading company.,Machine and deep learning
466266,Paid,1/18/2023,Onboarded,Annual,1/18/2023,United States of America,Linkedin,I want to earn a higher salary.,Business analysis
466268,Paid,1/18/2023,Onboarded,Annual,1/18/2023,Australia,Linkedin,,Introduction to the world of data and data science
466273,Paid,1/18/2023,Onboarded,Annual,1/18/2023,Colombia,Google,,Introduction to the world of data and data science
466277,Paid,1/18/2023,Onboarded,Annual,1/18/2023,Australia,Linkedin,,Introduction to the world of data and data science
466279,Free,1/18/2023,Not-Onboarded,,,,Multiple_Sources,,
466282,Paid,1/18/2023,Onboarded,Annual,1/18/2023,United States of America,Linkedin,I want to become a data scientist.,Data analysis and data visualization
466305,Paid,1/18/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
466309,Paid,1/18/2023,Onboarded,Annual,1/18/2023,Australia,Linkedin,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
466326,Paid,1/18/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
466333,Paid,1/18/2023,Onboarded,Annual,1/18/2023,Myanmar,Instagram,I want to join an industry-leading company.,Machine and deep learning
466348,Paid,1/18/2023,Not-Onboarded,Annual,,,Linkedin,,
466373,Paid,1/18/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
466381,Paid,1/18/2023,Onboarded,Annual,1/19/2023,India,Other,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
466385,Paid,1/18/2023,Onboarded,Annual,1/18/2023,India,Youtube,I want to improve my data skills.,Introduction to the world of data and data science
466388,Paid,1/18/2023,Onboarded,Annual,2/7/2023,Vietnam,Youtube,Other,Specialized advanced topics
466391,Paid,1/18/2023,Onboarded,Annual,1/18/2023,United States of America,Youtube,,Introduction to the world of data and data science
466393,Paid,1/18/2023,Onboarded,Annual,1/18/2023,United Kingdom,Linkedin,,Introduction to the world of data and data science
466394,Paid,1/18/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
466399,Paid,1/18/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
466405,Paid,1/18/2023,Onboarded,Annual,1/18/2023,United States of America,Instagram,I want to become a data scientist.,Data analysis and data visualization
466416,Paid,1/18/2023,Onboarded,Annual,1/18/2023,United States of America,Youtube,I want to earn a higher salary.,Business analysis
466418,Paid,1/18/2023,Onboarded,Annual,1/18/2023,United Kingdom,Youtube,,Introduction to the world of data and data science
466427,Paid,1/18/2023,Onboarded,Annual,1/18/2023,United States of America,Linkedin,I want to become a data scientist.,Data analysis and data visualization
466431,Paid,1/18/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
466444,Paid,1/18/2023,Onboarded,Annual,1/18/2023,Egypt,Linkedin,I want to join an industry-leading company.,Machine and deep learning
466453,Paid,1/18/2023,Onboarded,Annual,1/18/2023,Brazil,Google,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
466456,Paid,1/18/2023,Onboarded,Annual,1/18/2023,France,Linkedin,I want to join an industry-leading company.,Machine and deep learning
466464,Paid,1/18/2023,Onboarded,Annual,1/18/2023,United States of America,Youtube,I want to become a data scientist.,Data analysis and data visualization
466468,Paid,1/18/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
466492,Paid,1/19/2023,Onboarded,Annual,1/24/2023,Canada,Youtube,I want to become a data scientist.,Data analysis and data visualization
466496,Paid,1/19/2023,Onboarded,Annual,1/19/2023,United States of America,Youtube,I want to become a data scientist.,Data analysis and data visualization
466499,Paid,1/19/2023,Onboarded,Annual,1/19/2023,United States of America,Youtube,I want to become a data scientist.,Data analysis and data visualization
466502,Paid,1/19/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
466505,Paid,1/19/2023,Onboarded,Annual,1/19/2023,United States of America,Google,I want to join an industry-leading company.,Machine and deep learning
466507,Paid,1/19/2023,Onboarded,Annual,1/19/2023,United States of America,Linkedin,I want to become a data scientist.,Data analysis and data visualization
466508,Paid,1/19/2023,Onboarded,Annual,1/19/2023,India,Linkedin,,Introduction to the world of data and data science
466514,Paid,1/19/2023,Onboarded,Annual,1/19/2023,United States of America,Linkedin,,Introduction to the world of data and data science
466515,Paid,1/19/2023,Onboarded,Annual,1/19/2023,United States of America,Youtube,I want to improve my data skills.,Introduction to the world of data and data science
466516,Paid,1/19/2023,Onboarded,Annual,1/19/2023,Uzbekistan,Google,,Introduction to the world of data and data science
466517,Paid,1/19/2023,Onboarded,Annual,1/19/2023,United States of America,Linkedin,,Introduction to the world of data and data science
466519,Paid,1/19/2023,Onboarded,Monthly,1/19/2023,Australia,Friend,Other,Specialized advanced topics
466525,Paid,1/19/2023,Onboarded,Annual,1/19/2023,United States of America,Other,,Introduction to the world of data and data science
466527,Paid,1/19/2023,Onboarded,Annual,1/19/2023,Singapore,Linkedin,,Introduction to the world of data and data science
466529,Paid,1/19/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
466537,Paid,1/19/2023,Onboarded,Annual,1/19/2023,India,Google,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
466544,Paid,1/19/2023,Onboarded,Annual,1/19/2023,United States of America,Youtube,I want to become a data scientist.,Data analysis and data visualization
466560,Paid,1/19/2023,Not-Onboarded,Monthly,,India,Google,,
466577,Paid,1/19/2023,Onboarded,Monthly,1/19/2023,Israel,Youtube,I want to become a data scientist.,Data analysis and data visualization
466591,Paid,1/19/2023,Onboarded,Quarterly,1/19/2023,Poland,Friend,I want to join an industry-leading company.,Machine and deep learning
466593,Paid,1/19/2023,Onboarded,Annual,1/19/2023,Canada,Facebook,,Introduction to the world of data and data science
466596,Paid,1/19/2023,Not-Onboarded,Annual,,Vietnam,Youtube,,
466600,Paid,1/19/2023,Onboarded,Annual,1/19/2023,Serbia,Google,,Introduction to the world of data and data science
466603,Paid,1/19/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
466606,Paid,1/19/2023,Onboarded,Annual,1/19/2023,India,Youtube,I want to improve my data skills.,Introduction to the world of data and data science
466612,Paid,1/19/2023,Onboarded,Annual,1/19/2023,Saudi Arabia,Linkedin,I want to become a data scientist.,Data analysis and data visualization
466614,Paid,1/19/2023,Onboarded,Annual,1/19/2023,India,Linkedin,,Introduction to the world of data and data science
466616,Paid,1/19/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
466619,Paid,1/19/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
466620,Paid,1/19/2023,Onboarded,Annual,1/19/2023,India,Google,I want to join an industry-leading company.,Machine and deep learning
466622,Paid,1/19/2023,Onboarded,Annual,1/19/2023,United States of America,Multiple_Sources,I want to become a data scientist.,Data analysis and data visualization
466643,Paid,1/19/2023,Onboarded,Annual,1/19/2023,India,Youtube,,Introduction to the world of data and data science
466653,Paid,1/19/2023,Onboarded,Annual,1/19/2023,Canada,Youtube,Other,Specialized advanced topics
466654,Paid,1/19/2023,Onboarded,Annual,1/19/2023,United States of America,Other,I want to join an industry-leading company.,Machine and deep learning
466669,Paid,1/19/2023,Onboarded,Monthly,1/19/2023,Canada,Facebook,I want to become a data scientist.,Data analysis and data visualization
